,values,season,model,region
ccoef,-0.1674582480650984,am,vr,NE
crmsd,1.7604100743095281,am,vr,NE
sdev,1.2909949808162187,am,vr,NE
ccoef,0.16000312615408951,jja,vr,NE
crmsd,1.3666754764003228,jja,vr,NE
sdev,1.105203011777245,jja,vr,NE
ccoef,0.3292894301652611,am,rcm,NE
crmsd,1.2470537129122268,am,rcm,NE
sdev,1.1438902243659148,am,rcm,NE
ccoef,0.6871687299169096,jja,rcm,NE
crmsd,0.8508124302232696,jja,rcm,NE
sdev,1.129980931035728,jja,rcm,NE
ccoef,0.3391798935001651,am,vr,NC
crmsd,1.3240259220941228,am,vr,NC
sdev,1.2708920984510337,am,vr,NC
ccoef,-0.08839545021230574,jja,vr,NC
crmsd,2.182060786612377,jja,vr,NC
sdev,1.8530480520795818,jja,vr,NC
ccoef,0.6746482121364201,am,rcm,NC
crmsd,0.8692279421096829,am,rcm,NC
sdev,1.1336769928059356,am,rcm,NC
ccoef,0.6330777955643054,jja,rcm,NC
crmsd,1.3787086136917523,jja,rcm,NC
sdev,1.7739655874041316,jja,rcm,NC
ccoef,0.11866624710625391,am,vr,YZ
crmsd,1.2809845654168557,am,vr,YZ
sdev,0.9279888525473499,am,vr,YZ
ccoef,0.24344245488645413,jja,vr,YZ
crmsd,1.5258859551476645,jja,vr,YZ
sdev,1.4214034857180218,jja,vr,YZ
ccoef,0.8781237173316614,am,rcm,YZ
crmsd,0.497520276655016,am,rcm,YZ
sdev,1.0146069831139333,am,rcm,YZ
ccoef,0.7203170405211042,jja,rcm,YZ
crmsd,1.0656608902090816,jja,rcm,YZ
sdev,1.5293224606115101,jja,rcm,YZ
ccoef,0.4125485545855404,am,vr,SC
crmsd,1.4973358535949677,am,vr,SC
sdev,1.600913371766798,am,vr,SC
ccoef,-0.3998756707775961,jja,vr,SC
crmsd,3.1355364874906835,jja,vr,SC
sdev,2.598705588255091,jja,vr,SC
ccoef,0.5494810079141271,am,rcm,SC
crmsd,1.3456631150334355,am,rcm,SC
sdev,1.6043452583659292,am,rcm,SC
ccoef,0.28544244659768625,jja,rcm,SC
crmsd,1.9005037867090633,jja,rcm,SC
sdev,1.926598143873976,jja,rcm,SC
ccoef,0.021942727964458834,am,vr,SW
crmsd,1.5872817464709086,am,vr,SW
sdev,1.2548031740128658,am,vr,SW
ccoef,0.07344494689205022,jja,vr,SW
crmsd,1.221698424715425,jja,vr,SW
sdev,0.7790944608172081,jja,vr,SW
ccoef,0.7213679061769694,am,rcm,SW
crmsd,0.9637672539274594,am,rcm,SW
sdev,1.3916059053928023,am,rcm,SW
ccoef,0.2158682241895692,jja,rcm,SW
crmsd,1.314399380075682,jja,rcm,SW
sdev,1.0957800658903505,jja,rcm,SW
ccoef,0.47572433036432216,am,vr,NWC
crmsd,1.1918488778197365,am,vr,NWC
sdev,1.2799738988990983,am,vr,NWC
ccoef,-0.11654937597570333,jja,vr,NWC
crmsd,1.5251961837127304,jja,vr,NWC
sdev,1.0409510494318435,jja,vr,NWC
ccoef,0.7421098289123753,am,rcm,NWC
crmsd,0.8506874127179744,am,rcm,NWC
sdev,1.2659381114677575,am,rcm,NWC
ccoef,0.695410247620297,jja,rcm,NWC
crmsd,0.738446396116354,jja,rcm,NWC
sdev,0.8654058960153433,jja,rcm,NWC
