,variable,model,mean,bias,ccoef,crmsd,rmsd,sdev
0,mean,obs,17.433914184570312,0.0,1.0,0.0,0.0,7.159380912780762
1,mean,vr,18.01446094516556,0.5805467605952472,0.9741817281183001,2.011159221966999,2.0932740822220124,8.171286948854021
2,mean,rcm,18.369451005589006,0.9355368210186938,0.9689917312525641,2.3147837074372615,2.4966884955526387,8.430278314536096
3,max,obs,23.551578521728516,0.0,1.0,0.0,0.0,6.935990810394287
4,max,vr,22.468423074916704,-1.083155446811812,0.9743241739923264,2.1419057394131444,2.4002047318595734,8.223868103514137
5,max,rcm,22.641896642177997,-0.9096818795505186,0.9742717517774325,2.3508904616518524,2.5207547337589093,8.513405476556203
6,min,obs,12.152575492858887,0.0,1.0,0.0,0.0,7.469000339508057
7,min,vr,13.718024090643567,1.5654485977846804,0.9648109081343116,2.335898145236069,2.811947751432698,8.470840236006048
8,min,rcm,14.254421612008151,2.101846119149265,0.955042321276585,2.6763671005377723,3.403042594627967,8.636434554304191
