,variable,model,mean,bias,ccoef,crmsd,sdev
0,mean,obs,17.433914184570312,0.0,1.0,0.0,7.159380912780762
1,mean,vr,18.080495195131757,0.6465810105614445,0.9744711453480491,1.993171543097007,8.155205345968547
2,mean,rcm,18.42858203597096,0.9946678514006457,0.9693872129173462,2.2926773201836754,8.412007615656966
3,max,obs,23.551578521728516,0.0,1.0,0.0,6.935990810394287
4,max,vr,23.18375378613089,-0.3678247355976261,0.9739480603848577,2.0958758597585616,8.140479040944028
5,max,rcm,23.340261584724754,-0.21131693700376175,0.973795786077151,2.3009243443506064,8.429357826650714
6,min,obs,12.152575492858887,0.0,1.0,0.0,7.469000339508057
7,min,vr,12.549884362851381,0.3973088699924947,0.9725218112476465,2.064497374891565,8.376634050487384
8,min,rcm,13.123969516878642,0.9713940240197552,0.9638521159188583,2.3794418845394882,8.50344578036901
