,model,region,minus_values
ccoef,vr,NE,-0.5376171075079037
crmsd,vr,NE,0.057806154993457204
sdev,vr,NE,-0.5344281270437612
ccoef,rcm,NE,-0.34509535817811976
crmsd,rcm,NE,0.36024708677445516
sdev,rcm,NE,-0.23964221143298214
ccoef,vr,NC,-0.007694164301639217
crmsd,vr,NC,-0.03379794827421034
sdev,vr,NC,-0.058577726522054396
ccoef,rcm,NC,-0.3960766732418987
crmsd,rcm,NC,0.5713622670355819
sdev,rcm,NC,0.04840938810855788
ccoef,vr,YZ,0.12065468372874033
crmsd,vr,YZ,-0.20559918499260066
sdev,vr,YZ,-0.13358378621658362
ccoef,rcm,YZ,-0.23708932231628066
crmsd,rcm,YZ,0.2613393761227828
sdev,rcm,YZ,-0.1405453175074307
ccoef,vr,SC,-0.5796216717285362
crmsd,vr,SC,0.5005554230924513
sdev,vr,SC,0.08438437816701272
ccoef,rcm,SC,-0.35248004716943504
crmsd,rcm,SC,0.6849452806887097
sdev,rcm,SC,0.36706605284293214
ccoef,vr,SW,0.4691124857055572
crmsd,vr,SW,-0.13311606146745003
sdev,vr,SW,0.26019107201603964
ccoef,rcm,SW,-0.2334812084270752
crmsd,rcm,SW,0.33131848983245205
sdev,rcm,SW,0.18746907015513403
ccoef,vr,NWC,-0.2773598948482041
crmsd,vr,NWC,0.37096723393846
sdev,vr,NWC,0.16671118270493213
ccoef,rcm,NWC,-0.49204678395353596
crmsd,rcm,NWC,1.3747729758323755
sdev,rcm,NWC,1.0405771912344954
